,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2018,GA,Final,"6,847,325","59,689,106","4,354,020",11.47,"4,633,071","47,311,675","579,467",9.79,"1,963,178","32,695,791","23,066",6.00,"9,354","169,502",1,5.52,,,,,"13,452,928","139,866,074","4,956,554",9.62
2018,HI,Final,"880,207","2,710,698","436,266",32.47,"906,817","3,033,009","59,662",29.90,"937,994","3,593,454",814,26.10,0,0,0,,,,,,"2,725,018","9,337,161","496,741",29.18
2018,IA,Final,"1,817,122","14,840,349","1,385,752",12.24,"1,202,958","12,420,976","239,716",9.68,"1,546,011","23,952,635","7,886",6.45,0,0,0,,,,,,"4,566,091","51,213,960","1,633,354",8.92
2018,ID,Final,"855,157","8,427,578","743,564",10.15,"510,534","6,436,893","110,794",7.93,"575,247","8,889,037","28,416",6.47,0,0,0,,,,,,"1,940,939","23,753,508","882,774",8.17
2018,IL,Final,"6,028,532","47,225,915","5,289,571",12.77,"4,631,432","50,762,829","616,195",9.12,"2,998,939","44,114,711","5,718",6.80,"37,205","551,353",3,6.75,,,,,"13,696,108","142,654,808","5,911,487",9.60
2018,IN,Final,"4,239,862","34,574,664","2,863,350",12.26,"2,575,962","24,305,199","354,722",10.60,"3,345,716","45,315,949","17,768",7.38,"2,213","21,191",1,10.44,,,,,"10,163,753","104,217,003","3,235,841",9.75
2018,KS,Final,"1,894,142","14,187,192","1,266,041",13.35,"1,723,136","16,168,750","234,094",10.66,"887,869","11,688,061","24,185",7.60,0,0,0,,,,,,"4,505,147","42,044,003","1,524,320",10.72
2018,KY,Final,"2,936,379","27,712,722","1,980,206",10.60,"1,945,913","19,980,485","305,410",9.74,"1,642,598","28,917,429","6,749",5.68,0,0,0,,,,,,"6,524,890","76,610,636","2,292,366",8.52
2018,LA,Final,"3,074,086","32,065,538","2,085,054",9.59,"2,184,935","24,690,904","292,750",8.85,"2,002,500","37,416,715","19,558",5.35,"1,189","12,915",1,9.21,,,,,"7,262,710","94,186,072","2,397,363",7.71
2018,MA,Final,"4,383,449","20,284,674","2,784,243",21.61,"4,456,596","25,952,481","408,971",17.17,"997,600","6,699,302","10,503",14.89,"22,255","348,572",2,6.38,,,,,"9,859,899","53,285,029","3,203,718",18.50
